Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
30450,24-06-2023 16:00,06-22-2023 17:00,23-06-2023 03:04,Mumbai,278,IDENTITY THEFT,38,F,Blunt Object,Violent Crime,14,No,
30451,23-06-2023 02:00,06-22-2023 18:00,22-06-2023 23:47,Hyderabad,598,VANDALISM,62,M,Blunt Object,Other Crime,15,Yes,30-08-2023 02:00
30452,25-06-2023 14:00,06-22-2023 19:00,23-06-2023 16:16,Vasai,143,COUNTERFEITING,53,M,Blunt Object,Other Crime,7,Yes,15-09-2023 14:00
30453,25-06-2023 17:00,06-22-2023 20:00,23-06-2023 04:07,Hyderabad,251,DRUG OFFENSE,40,F,Firearm,Other Crime,18,No,
30454,24-06-2023 07:00,06-22-2023 21:00,23-06-2023 19:10,Patna,441,DOMESTIC VIOLENCE,78,M,Explosives,Violent Crime,17,Yes,07-07-2023 07:00
30455,24-06-2023 06:00,06-22-2023 22:00,23-06-2023 18:43,Lucknow,341,TRAFFIC VIOLATION,12,M,Other,Traffic Fatality,2,No,
30456,25-06-2023 12:00,06-22-2023 23:00,23-06-2023 16:46,Kanpur,344,PUBLIC INTOXICATION,45,F,Knife,Other Crime,8,No,
30457,24-06-2023 14:00,06-23-2023 00:00,23-06-2023 12:21,Bhopal,265,KIDNAPPING,53,F,Other,Other Crime,7,No,
30458,25-06-2023 07:00,06-23-2023 01:00,23-06-2023 11:23,Meerut,470,SEXUAL ASSAULT,14,M,Other,Violent Crime,2,No,
30459,25-06-2023 23:00,06-23-2023 02:00,23-06-2023 21:19,Kolkata,420,ARSON,68,M,Poison,Fire Accident,3,Yes,08-09-2023 23:00
30460,23-06-2023 13:00,06-23-2023 03:00,23-06-2023 22:44,Nagpur,489,FIREARM OFFENSE,78,M,Knife,Fire Accident,14,No,
30461,24-06-2023 01:00,06-23-2023 04:00,23-06-2023 15:12,Mumbai,119,SHOPLIFTING,45,F,Explosives,Other Crime,7,Yes,13-09-2023 01:00
30462,25-06-2023 07:00,06-23-2023 05:00,23-06-2023 14:13,Hyderabad,479,ARSON,12,F,Explosives,Fire Accident,1,Yes,31-07-2023 07:00
30463,24-06-2023 23:00,06-23-2023 06:00,23-06-2023 13:22,Kanpur,386,EXTORTION,52,F,Other,Other Crime,11,Yes,19-07-2023 23:00
30464,25-06-2023 19:00,06-23-2023 07:00,23-06-2023 11:33,Visakhapatnam,561,VANDALISM,30,F,None,Other Crime,7,Yes,28-07-2023 19:00
30465,25-06-2023 15:00,06-23-2023 08:00,24-06-2023 03:03,Kolkata,341,IDENTITY THEFT,56,M,Blunt Object,Violent Crime,12,No,
30466,23-06-2023 20:00,06-23-2023 09:00,23-06-2023 10:57,Hyderabad,238,COUNTERFEITING,35,F,Firearm,Other Crime,5,No,
30467,23-06-2023 21:00,06-23-2023 10:00,23-06-2023 12:22,Hyderabad,449,EXTORTION,68,F,Other,Other Crime,8,No,
30468,24-06-2023 13:00,06-23-2023 11:00,23-06-2023 12:05,Lucknow,251,CYBERCRIME,20,M,None,Other Crime,19,No,
30469,24-06-2023 02:00,06-23-2023 12:00,24-06-2023 00:33,Delhi,456,VANDALISM,77,M,Poison,Other Crime,12,Yes,16-08-2023 02:00
30470,24-06-2023 08:00,06-23-2023 13:00,24-06-2023 03:04,Kanpur,111,SHOPLIFTING,43,M,Other,Other Crime,17,No,
30471,25-06-2023 00:00,06-23-2023 14:00,23-06-2023 17:19,Chennai,552,ROBBERY,79,M,None,Violent Crime,12,No,
30472,25-06-2023 12:00,06-23-2023 15:00,24-06-2023 03:18,Pune,427,ASSAULT,60,F,Other,Violent Crime,17,No,
30473,25-06-2023 21:00,06-23-2023 16:00,24-06-2023 10:27,Agra,410,ASSAULT,79,F,Poison,Violent Crime,14,No,
30474,25-06-2023 14:00,06-23-2023 17:00,24-06-2023 11:49,Delhi,208,VEHICLE - STOLEN,21,F,Explosives,Violent Crime,2,Yes,29-07-2023 14:00
30475,24-06-2023 05:00,06-23-2023 18:00,24-06-2023 14:06,Rajkot,362,HOMICIDE,32,M,Other,Other Crime,18,No,
30476,24-06-2023 13:00,06-23-2023 19:00,24-06-2023 18:16,Chennai,408,DRUG OFFENSE,55,F,Knife,Other Crime,13,Yes,10-09-2023 13:00
30477,24-06-2023 06:00,06-23-2023 20:00,23-06-2023 22:26,Faridabad,401,DOMESTIC VIOLENCE,58,F,Poison,Violent Crime,2,Yes,10-07-2023 06:00
30478,26-06-2023 18:00,06-23-2023 21:00,24-06-2023 08:04,Mumbai,404,HOMICIDE,30,M,None,Other Crime,8,Yes,25-01-2024 18:00
30479,26-06-2023 06:00,06-23-2023 22:00,24-06-2023 04:59,Delhi,354,KIDNAPPING,61,M,Other,Other Crime,11,No,
30480,25-06-2023 06:00,06-23-2023 23:00,24-06-2023 06:13,Pune,493,ASSAULT,29,F,Explosives,Violent Crime,18,Yes,13-07-2023 06:00
30481,24-06-2023 15:00,06-24-2023 00:00,24-06-2023 16:10,Visakhapatnam,412,DOMESTIC VIOLENCE,35,F,Blunt Object,Violent Crime,4,No,
30482,25-06-2023 11:00,06-24-2023 01:00,24-06-2023 09:50,Patna,149,PUBLIC INTOXICATION,14,M,Explosives,Other Crime,9,Yes,30-06-2023 11:00
30483,25-06-2023 20:00,06-24-2023 02:00,24-06-2023 22:29,Mumbai,167,ARSON,59,F,Firearm,Fire Accident,19,Yes,18-09-2023 20:00
30484,25-06-2023 16:00,06-24-2023 03:00,24-06-2023 17:50,Kolkata,310,FRAUD,19,F,Knife,Other Crime,6,No,
30485,25-06-2023 14:00,06-24-2023 04:00,24-06-2023 09:26,Bangalore,392,IDENTITY THEFT,74,M,Other,Violent Crime,14,Yes,31-08-2023 14:00
30486,26-06-2023 07:00,06-24-2023 05:00,24-06-2023 05:31,Delhi,121,IDENTITY THEFT,22,F,Knife,Violent Crime,2,Yes,25-08-2023 07:00
30487,26-06-2023 23:00,06-24-2023 06:00,25-06-2023 04:29,Kanpur,371,DRUG OFFENSE,49,F,Blunt Object,Other Crime,10,No,
30488,27-06-2023 04:00,06-24-2023 07:00,24-06-2023 09:31,Nagpur,201,FRAUD,77,M,Other,Other Crime,9,Yes,04-08-2023 04:00
30489,25-06-2023 12:00,06-24-2023 08:00,24-06-2023 13:12,Nashik,207,PUBLIC INTOXICATION,74,F,Knife,Other Crime,19,No,
30490,27-06-2023 08:00,06-24-2023 09:00,24-06-2023 21:31,Delhi,208,PUBLIC INTOXICATION,21,F,Knife,Other Crime,14,Yes,09-07-2023 08:00
30491,25-06-2023 02:00,06-24-2023 10:00,24-06-2023 11:54,Delhi,293,VANDALISM,31,F,Other,Other Crime,7,No,
30492,25-06-2023 09:00,06-24-2023 11:00,24-06-2023 16:11,Mumbai,203,FIREARM OFFENSE,36,M,None,Fire Accident,14,No,
30493,25-06-2023 23:00,06-24-2023 12:00,25-06-2023 07:57,Ghaziabad,297,IDENTITY THEFT,49,F,Other,Violent Crime,8,No,
30494,24-06-2023 22:00,06-24-2023 13:00,25-06-2023 07:26,Delhi,571,VEHICLE - STOLEN,11,F,Explosives,Violent Crime,17,No,
30495,24-06-2023 19:00,06-24-2023 14:00,25-06-2023 05:52,Mumbai,219,IDENTITY THEFT,52,F,Knife,Violent Crime,3,Yes,11-09-2023 19:00
30496,25-06-2023 09:00,06-24-2023 15:00,24-06-2023 22:41,Ghaziabad,373,BURGLARY,66,M,Other,Other Crime,5,No,
30497,25-06-2023 10:00,06-24-2023 16:00,24-06-2023 16:57,Bangalore,393,VANDALISM,15,F,Knife,Other Crime,4,No,
30498,25-06-2023 12:00,06-24-2023 17:00,25-06-2023 16:22,Mumbai,385,SEXUAL ASSAULT,60,F,None,Violent Crime,2,No,
30499,26-06-2023 14:00,06-24-2023 18:00,24-06-2023 19:09,Delhi,241,FIREARM OFFENSE,76,F,Other,Fire Accident,15,Yes,30-07-2023 14:00
30500,27-06-2023 18:00,06-24-2023 19:00,25-06-2023 04:35,Faridabad,495,FIREARM OFFENSE,69,M,Firearm,Fire Accident,10,Yes,24-07-2023 18:00
30501,26-06-2023 00:00,06-24-2023 20:00,25-06-2023 12:56,Surat,522,CYBERCRIME,44,F,None,Other Crime,11,Yes,10-09-2023 00:00
30502,25-06-2023 15:00,06-24-2023 21:00,25-06-2023 07:17,Ahmedabad,117,CYBERCRIME,15,F,Poison,Other Crime,19,Yes,11-09-2023 15:00
30503,27-06-2023 11:00,06-24-2023 22:00,25-06-2023 19:09,Pune,254,ROBBERY,61,F,None,Violent Crime,19,No,
30504,25-06-2023 15:00,06-24-2023 23:00,25-06-2023 20:17,Ghaziabad,418,VEHICLE - STOLEN,18,F,Blunt Object,Violent Crime,15,No,
30505,26-06-2023 19:00,06-25-2023 00:00,25-06-2023 02:03,Chennai,489,KIDNAPPING,78,M,Firearm,Other Crime,19,Yes,23-07-2023 19:00
30506,25-06-2023 10:00,06-25-2023 01:00,25-06-2023 19:08,Ahmedabad,356,ILLEGAL POSSESSION,73,F,Poison,Other Crime,6,No,
30507,25-06-2023 04:00,06-25-2023 02:00,25-06-2023 13:12,Bhopal,184,PUBLIC INTOXICATION,58,F,Other,Other Crime,14,Yes,19-07-2023 04:00
30508,27-06-2023 00:00,06-25-2023 03:00,25-06-2023 18:54,Vasai,129,FIREARM OFFENSE,21,F,Explosives,Fire Accident,13,Yes,30-07-2023 00:00
30509,25-06-2023 05:00,06-25-2023 04:00,25-06-2023 08:36,Bangalore,384,PUBLIC INTOXICATION,52,M,Firearm,Other Crime,15,No,
30510,25-06-2023 19:00,06-25-2023 05:00,25-06-2023 05:32,Delhi,563,CYBERCRIME,58,M,Knife,Other Crime,2,No,
30511,25-06-2023 12:00,06-25-2023 06:00,26-06-2023 00:20,Lucknow,539,FIREARM OFFENSE,28,F,Blunt Object,Fire Accident,4,Yes,26-08-2023 12:00
30512,25-06-2023 15:00,06-25-2023 07:00,25-06-2023 14:38,Visakhapatnam,412,EXTORTION,36,M,Poison,Other Crime,13,No,
30513,27-06-2023 10:00,06-25-2023 08:00,26-06-2023 05:23,Ahmedabad,431,VANDALISM,25,M,Blunt Object,Other Crime,16,Yes,22-08-2023 10:00
30514,27-06-2023 14:00,06-25-2023 09:00,26-06-2023 00:37,Thane,396,TRAFFIC VIOLATION,70,F,Other,Traffic Fatality,16,No,
30515,27-06-2023 19:00,06-25-2023 10:00,26-06-2023 08:21,Bangalore,197,TRAFFIC VIOLATION,55,F,Blunt Object,Traffic Fatality,10,No,
30516,28-06-2023 04:00,06-25-2023 11:00,25-06-2023 12:39,Nagpur,164,TRAFFIC VIOLATION,15,F,Poison,Traffic Fatality,7,Yes,10-07-2023 04:00
30517,27-06-2023 22:00,06-25-2023 12:00,25-06-2023 19:48,Ahmedabad,183,DRUG OFFENSE,18,F,None,Other Crime,14,No,
30518,25-06-2023 20:00,06-25-2023 13:00,25-06-2023 15:56,Thane,448,VANDALISM,63,F,Knife,Other Crime,3,Yes,07-09-2023 20:00
30519,27-06-2023 16:00,06-25-2023 14:00,26-06-2023 08:43,Lucknow,497,SEXUAL ASSAULT,30,F,None,Violent Crime,17,No,
30520,27-06-2023 22:00,06-25-2023 15:00,26-06-2023 07:40,Ghaziabad,554,SHOPLIFTING,42,M,Firearm,Other Crime,1,No,
30521,26-06-2023 23:00,06-25-2023 16:00,26-06-2023 00:42,Bangalore,529,SHOPLIFTING,49,F,Explosives,Other Crime,13,Yes,22-08-2023 23:00
30522,25-06-2023 18:00,06-25-2023 17:00,26-06-2023 06:35,Bangalore,476,FRAUD,36,F,Explosives,Other Crime,16,No,
30523,28-06-2023 11:00,06-25-2023 18:00,26-06-2023 06:05,Kolkata,191,SHOPLIFTING,56,F,Other,Other Crime,7,Yes,07-07-2023 11:00
30524,28-06-2023 17:00,06-25-2023 19:00,25-06-2023 19:01,Kanpur,585,ASSAULT,27,M,None,Violent Crime,1,Yes,16-09-2023 17:00
30525,28-06-2023 04:00,06-25-2023 20:00,26-06-2023 10:39,Pune,233,DRUG OFFENSE,70,F,Knife,Other Crime,10,No,
30526,28-06-2023 09:00,06-25-2023 21:00,26-06-2023 19:29,Chennai,438,BURGLARY,48,F,Explosives,Other Crime,6,Yes,14-12-2023 09:00
30527,26-06-2023 17:00,06-25-2023 22:00,26-06-2023 11:42,Lucknow,190,SEXUAL ASSAULT,56,F,Poison,Violent Crime,15,Yes,23-01-2024 17:00
30528,27-06-2023 22:00,06-25-2023 23:00,26-06-2023 00:51,Mumbai,472,IDENTITY THEFT,42,M,Explosives,Violent Crime,14,Yes,20-07-2023 22:00
30529,26-06-2023 23:00,06-26-2023 00:00,26-06-2023 02:11,Kanpur,542,TRAFFIC VIOLATION,46,F,None,Traffic Fatality,1,Yes,04-07-2023 23:00
30530,26-06-2023 21:00,06-26-2023 01:00,26-06-2023 19:38,Delhi,196,PUBLIC INTOXICATION,29,F,Blunt Object,Other Crime,1,Yes,12-07-2023 21:00
30531,28-06-2023 21:00,06-26-2023 02:00,26-06-2023 16:01,Delhi,242,ILLEGAL POSSESSION,27,F,Poison,Other Crime,10,No,
30532,27-06-2023 21:00,06-26-2023 03:00,27-06-2023 01:31,Agra,551,VEHICLE - STOLEN,62,F,None,Violent Crime,1,Yes,21-09-2023 21:00
30533,27-06-2023 02:00,06-26-2023 04:00,26-06-2023 14:04,Hyderabad,271,CYBERCRIME,52,F,Firearm,Other Crime,14,No,
30534,27-06-2023 03:00,06-26-2023 05:00,26-06-2023 05:48,Jaipur,468,ASSAULT,78,M,Knife,Violent Crime,10,Yes,19-09-2023 03:00
30535,28-06-2023 08:00,06-26-2023 06:00,26-06-2023 13:20,Ahmedabad,156,VANDALISM,56,F,Other,Other Crime,10,Yes,13-09-2023 08:00
30536,28-06-2023 11:00,06-26-2023 07:00,26-06-2023 15:18,Kolkata,408,FIREARM OFFENSE,67,M,Knife,Fire Accident,14,Yes,27-08-2023 11:00
30537,26-06-2023 18:00,06-26-2023 08:00,26-06-2023 12:06,Hyderabad,268,FIREARM OFFENSE,10,F,Knife,Fire Accident,8,Yes,30-08-2023 18:00
30538,27-06-2023 00:00,06-26-2023 09:00,26-06-2023 10:23,Faridabad,525,SHOPLIFTING,63,F,Knife,Other Crime,7,No,
30539,28-06-2023 21:00,06-26-2023 10:00,26-06-2023 23:16,Delhi,508,DOMESTIC VIOLENCE,43,M,Firearm,Violent Crime,18,No,
30540,29-06-2023 10:00,06-26-2023 11:00,27-06-2023 03:09,Mumbai,241,DRUG OFFENSE,25,F,Knife,Other Crime,15,No,
30541,28-06-2023 18:00,06-26-2023 12:00,27-06-2023 07:16,Mumbai,136,KIDNAPPING,19,F,Poison,Other Crime,17,Yes,05-07-2023 18:00
30542,26-06-2023 23:00,06-26-2023 13:00,27-06-2023 07:33,Kanpur,544,ARSON,55,M,Knife,Fire Accident,5,No,
30543,28-06-2023 01:00,06-26-2023 14:00,26-06-2023 23:52,Kolkata,497,ROBBERY,38,M,Knife,Violent Crime,13,No,
30544,28-06-2023 07:00,06-26-2023 15:00,27-06-2023 03:52,Chennai,402,KIDNAPPING,71,M,Knife,Other Crime,16,Yes,17-09-2023 07:00
30545,27-06-2023 11:00,06-26-2023 16:00,27-06-2023 04:29,Bangalore,234,DRUG OFFENSE,19,F,Other,Other Crime,12,Yes,09-07-2023 11:00
30546,26-06-2023 20:00,06-26-2023 17:00,27-06-2023 00:56,Kolkata,344,HOMICIDE,39,F,Poison,Other Crime,5,No,
30547,28-06-2023 13:00,06-26-2023 18:00,26-06-2023 18:50,Lucknow,360,ILLEGAL POSSESSION,59,F,Knife,Other Crime,4,Yes,04-09-2023 13:00
30548,28-06-2023 10:00,06-26-2023 19:00,27-06-2023 09:22,Delhi,287,ROBBERY,79,F,Firearm,Violent Crime,10,Yes,22-09-2023 10:00
30549,27-06-2023 11:00,06-26-2023 20:00,26-06-2023 23:01,Mumbai,302,CYBERCRIME,41,F,None,Other Crime,5,No,
30550,27-06-2023 14:00,06-26-2023 21:00,27-06-2023 14:56,Kanpur,239,TRAFFIC VIOLATION,73,M,None,Traffic Fatality,13,Yes,25-07-2023 14:00
30551,28-06-2023 15:00,06-26-2023 22:00,27-06-2023 12:59,Ludhiana,459,SEXUAL ASSAULT,37,F,Blunt Object,Violent Crime,19,No,
30552,28-06-2023 03:00,06-26-2023 23:00,27-06-2023 05:05,Delhi,109,ROBBERY,29,F,Firearm,Violent Crime,11,Yes,20-09-2023 03:00
30553,28-06-2023 20:00,06-27-2023 00:00,27-06-2023 00:29,Pune,553,ILLEGAL POSSESSION,43,F,Poison,Other Crime,17,No,
30554,28-06-2023 03:00,06-27-2023 01:00,27-06-2023 21:53,Hyderabad,455,FRAUD,61,F,None,Other Crime,11,No,
30555,27-06-2023 13:00,06-27-2023 02:00,27-06-2023 21:39,Delhi,456,DRUG OFFENSE,47,M,Poison,Other Crime,9,Yes,09-08-2023 13:00
30556,29-06-2023 07:00,06-27-2023 03:00,27-06-2023 07:31,Bangalore,426,ASSAULT,53,F,Poison,Violent Crime,11,Yes,09-09-2023 07:00
30557,28-06-2023 19:00,06-27-2023 04:00,27-06-2023 13:55,Mumbai,327,FIREARM OFFENSE,58,F,Explosives,Fire Accident,15,No,
30558,28-06-2023 15:00,06-27-2023 05:00,28-06-2023 03:41,Nagpur,535,TRAFFIC VIOLATION,48,F,Other,Traffic Fatality,7,Yes,14-07-2023 15:00
30559,29-06-2023 07:00,06-27-2023 06:00,27-06-2023 19:28,Jaipur,410,ROBBERY,55,F,Explosives,Violent Crime,19,Yes,31-10-2023 07:00
30560,29-06-2023 23:00,06-27-2023 07:00,27-06-2023 22:24,Kanpur,374,DRUG OFFENSE,25,M,Knife,Other Crime,10,Yes,26-09-2023 23:00
30561,29-06-2023 12:00,06-27-2023 08:00,27-06-2023 17:05,Ghaziabad,140,PUBLIC INTOXICATION,21,M,Blunt Object,Other Crime,17,Yes,27-07-2023 12:00
30562,29-06-2023 04:00,06-27-2023 09:00,27-06-2023 21:16,Srinagar,266,TRAFFIC VIOLATION,19,F,Poison,Traffic Fatality,8,Yes,07-07-2023 04:00
30563,28-06-2023 04:00,06-27-2023 10:00,28-06-2023 07:54,Delhi,478,PUBLIC INTOXICATION,55,F,Explosives,Other Crime,7,Yes,02-07-2023 04:00
30564,29-06-2023 17:00,06-27-2023 11:00,28-06-2023 07:42,Bhopal,341,TRAFFIC VIOLATION,15,F,Firearm,Traffic Fatality,10,No,
30565,29-06-2023 03:00,06-27-2023 12:00,27-06-2023 20:59,Mumbai,328,KIDNAPPING,35,F,Explosives,Other Crime,6,Yes,12-07-2023 03:00
30566,28-06-2023 03:00,06-27-2023 13:00,27-06-2023 13:20,Patna,363,DOMESTIC VIOLENCE,75,F,Other,Violent Crime,16,No,
30567,28-06-2023 14:00,06-27-2023 14:00,27-06-2023 19:55,Bangalore,345,DOMESTIC VIOLENCE,78,F,Knife,Violent Crime,18,Yes,12-09-2023 14:00
30568,28-06-2023 01:00,06-27-2023 15:00,28-06-2023 11:08,Thane,210,COUNTERFEITING,29,M,Firearm,Other Crime,9,No,
30569,28-06-2023 07:00,06-27-2023 16:00,28-06-2023 12:59,Agra,112,DRUG OFFENSE,55,F,Firearm,Other Crime,2,No,
30570,29-06-2023 23:00,06-27-2023 17:00,27-06-2023 20:46,Delhi,546,ROBBERY,45,F,Firearm,Violent Crime,17,No,
30571,29-06-2023 01:00,06-27-2023 18:00,27-06-2023 22:49,Thane,154,IDENTITY THEFT,15,F,None,Violent Crime,15,No,
30572,28-06-2023 09:00,06-27-2023 19:00,27-06-2023 19:14,Bangalore,587,PUBLIC INTOXICATION,13,M,None,Other Crime,7,No,
30573,28-06-2023 11:00,06-27-2023 20:00,28-06-2023 04:28,Bhopal,529,ARSON,40,F,Explosives,Fire Accident,16,No,
30574,30-06-2023 12:00,06-27-2023 21:00,28-06-2023 07:22,Lucknow,280,COUNTERFEITING,57,F,Poison,Other Crime,6,No,
30575,30-06-2023 14:00,06-27-2023 22:00,28-06-2023 10:10,Ahmedabad,347,TRAFFIC VIOLATION,40,M,Firearm,Traffic Fatality,1,No,
30576,28-06-2023 05:00,06-27-2023 23:00,28-06-2023 10:21,Bangalore,500,ILLEGAL POSSESSION,64,M,Other,Other Crime,19,Yes,10-07-2023 05:00
30577,28-06-2023 06:00,06-28-2023 00:00,28-06-2023 14:53,Surat,292,SEXUAL ASSAULT,20,F,Firearm,Violent Crime,2,No,
30578,30-06-2023 17:00,06-28-2023 01:00,28-06-2023 10:52,Indore,135,DRUG OFFENSE,61,M,None,Other Crime,6,Yes,13-07-2023 17:00
30579,29-06-2023 17:00,06-28-2023 02:00,28-06-2023 21:45,Agra,485,KIDNAPPING,73,F,Blunt Object,Other Crime,2,No,
30580,28-06-2023 08:00,06-28-2023 03:00,28-06-2023 16:58,Chennai,448,CYBERCRIME,45,F,None,Other Crime,2,No,
30581,28-06-2023 19:00,06-28-2023 04:00,28-06-2023 23:01,Delhi,255,ROBBERY,10,F,Knife,Violent Crime,18,Yes,15-09-2023 19:00
30582,30-06-2023 20:00,06-28-2023 05:00,28-06-2023 23:20,Ahmedabad,516,IDENTITY THEFT,17,F,Explosives,Violent Crime,16,No,
30583,30-06-2023 14:00,06-28-2023 06:00,29-06-2023 00:26,Delhi,429,PUBLIC INTOXICATION,47,F,Poison,Other Crime,6,No,
30584,28-06-2023 21:00,06-28-2023 07:00,28-06-2023 19:02,Lucknow,429,VEHICLE - STOLEN,61,M,Knife,Violent Crime,4,No,
30585,29-06-2023 05:00,06-28-2023 08:00,28-06-2023 16:10,Bangalore,372,HOMICIDE,22,F,Poison,Other Crime,9,Yes,16-03-2025 05:00
30586,29-06-2023 18:00,06-28-2023 09:00,29-06-2023 05:33,Mumbai,183,PUBLIC INTOXICATION,49,F,Knife,Other Crime,13,No,
30587,30-06-2023 18:00,06-28-2023 10:00,28-06-2023 10:51,Varanasi,320,VEHICLE - STOLEN,62,F,None,Violent Crime,17,Yes,29-07-2023 18:00
30588,30-06-2023 07:00,06-28-2023 11:00,29-06-2023 01:20,Bangalore,297,VANDALISM,10,M,Blunt Object,Other Crime,15,Yes,27-08-2023 07:00
30589,01-07-2023 10:00,06-28-2023 12:00,28-06-2023 12:13,Hyderabad,180,FRAUD,71,F,None,Other Crime,2,No,
30590,29-06-2023 21:00,06-28-2023 13:00,29-06-2023 05:51,Bangalore,502,HOMICIDE,61,F,None,Other Crime,12,Yes,20-05-2025 21:00
30591,30-06-2023 16:00,06-28-2023 14:00,29-06-2023 08:09,Delhi,520,VEHICLE - STOLEN,63,F,Firearm,Violent Crime,2,No,
30592,30-06-2023 12:00,06-28-2023 15:00,29-06-2023 10:12,Srinagar,283,VEHICLE - STOLEN,38,F,Knife,Violent Crime,6,No,
30593,01-07-2023 14:00,06-28-2023 16:00,29-06-2023 01:47,Kanpur,165,ARSON,23,M,None,Fire Accident,14,No,
30594,29-06-2023 20:00,06-28-2023 17:00,28-06-2023 23:35,Bangalore,300,BURGLARY,11,F,Explosives,Other Crime,17,Yes,11-09-2023 20:00
30595,29-06-2023 02:00,06-28-2023 18:00,28-06-2023 18:57,Bangalore,278,ARSON,61,F,Other,Fire Accident,4,Yes,16-08-2023 02:00
30596,29-06-2023 13:00,06-28-2023 19:00,29-06-2023 07:12,Kolkata,196,TRAFFIC VIOLATION,15,F,Knife,Traffic Fatality,1,No,
30597,01-07-2023 17:00,06-28-2023 20:00,29-06-2023 00:23,Mumbai,451,SEXUAL ASSAULT,73,F,Knife,Violent Crime,2,Yes,21-12-2024 17:00
30598,01-07-2023 14:00,06-28-2023 21:00,29-06-2023 03:05,Ahmedabad,329,ROBBERY,25,F,Explosives,Violent Crime,10,Yes,05-09-2023 14:00
30599,30-06-2023 20:00,06-28-2023 22:00,29-06-2023 12:10,Jaipur,599,VANDALISM,28,F,Firearm,Other Crime,15,Yes,30-07-2023 20:00
30600,01-07-2023 02:00,06-28-2023 23:00,29-06-2023 14:24,Bangalore,139,ILLEGAL POSSESSION,12,F,Poison,Other Crime,11,Yes,31-07-2023 02:00
30601,29-06-2023 03:00,06-29-2023 00:00,29-06-2023 11:56,Jaipur,520,ROBBERY,19,F,Blunt Object,Violent Crime,18,Yes,12-09-2023 03:00
35029,31-12-2023 06:00,12-30-2023 12:00,30-12-2023 22:31,Bangalore,276,PUBLIC INTOXICATION,32,M,Knife,Other Crime,11,Yes,18-01-2024 06:00
35030,30-12-2023 23:00,12-30-2023 13:00,31-12-2023 06:58,Ahmedabad,318,FRAUD,53,F,Knife,Other Crime,7,No,
35031,02-01-2024 03:00,12-30-2023 14:00,31-12-2023 10:12,Delhi,311,IDENTITY THEFT,61,F,Knife,Violent Crime,15,No,
35032,31-12-2023 06:00,12-30-2023 15:00,30-12-2023 18:19,Bangalore,538,KIDNAPPING,37,F,Explosives,Other Crime,17,Yes,12-03-2024 06:00
35033,02-01-2024 12:00,12-30-2023 16:00,30-12-2023 21:15,Nagpur,516,FRAUD,24,M,Knife,Other Crime,11,No,
35034,02-01-2024 01:00,12-30-2023 17:00,30-12-2023 23:19,Jaipur,419,ILLEGAL POSSESSION,10,F,None,Other Crime,11,Yes,21-02-2024 01:00
35035,31-12-2023 17:00,12-30-2023 18:00,30-12-2023 21:50,Jaipur,591,FIREARM OFFENSE,43,M,Knife,Fire Accident,2,No,
35036,30-12-2023 20:00,12-30-2023 19:00,31-12-2023 11:10,Indore,451,IDENTITY THEFT,78,F,Knife,Violent Crime,16,Yes,03-02-2024 20:00
35037,02-01-2024 06:00,12-30-2023 20:00,31-12-2023 10:17,Hyderabad,361,PUBLIC INTOXICATION,33,F,None,Other Crime,14,Yes,13-01-2024 06:00
35038,02-01-2024 20:00,12-30-2023 21:00,31-12-2023 15:28,Chennai,236,SHOPLIFTING,44,M,Other,Other Crime,12,No,
35039,02-01-2024 12:00,12-30-2023 22:00,31-12-2023 01:57,Mumbai,214,KIDNAPPING,36,F,Explosives,Other Crime,8,Yes,24-02-2024 12:00
35040,31-12-2023 09:00,12-30-2023 23:00,31-12-2023 08:59,Mumbai,208,ASSAULT,15,M,Blunt Object,Violent Crime,19,No,
35041,01-01-2024 12:00,12-31-2023 00:00,31-12-2023 08:15,Mumbai,105,TRAFFIC VIOLATION,79,M,Other,Traffic Fatality,5,No,
35042,01-01-2024 19:00,12-31-2023 01:00,31-12-2023 10:41,Kanpur,111,VANDALISM,52,F,Knife,Other Crime,10,Yes,07-02-2024 19:00
35043,01-01-2024 10:00,12-31-2023 02:00,31-12-2023 17:01,Ahmedabad,581,BURGLARY,68,M,Firearm,Other Crime,11,No,
35044,02-01-2024 23:00,12-31-2023 03:00,31-12-2023 07:28,Mumbai,173,CYBERCRIME,31,F,None,Other Crime,14,Yes,01-02-2024 23:00
35045,31-12-2023 05:00,12-31-2023 04:00,01-01-2024 02:09,Kolkata,431,EXTORTION,64,F,None,Other Crime,9,Yes,08-03-2024 05:00
35046,02-01-2024 06:00,12-31-2023 05:00,31-12-2023 10:23,Jaipur,283,EXTORTION,79,M,None,Other Crime,14,Yes,18-01-2024 06:00
35047,31-12-2023 17:00,12-31-2023 06:00,31-12-2023 12:03,Ahmedabad,554,SEXUAL ASSAULT,27,M,Explosives,Violent Crime,15,Yes,05-03-2025 17:00
35048,01-01-2024 04:00,12-31-2023 07:00,31-12-2023 11:42,Bangalore,142,FRAUD,34,F,None,Other Crime,17,No,
35049,31-12-2023 18:00,12-31-2023 08:00,31-12-2023 21:28,Bangalore,561,ARSON,36,M,Firearm,Fire Accident,8,No,
35050,31-12-2023 23:00,12-31-2023 09:00,01-01-2024 02:03,Bangalore,569,EXTORTION,32,F,Blunt Object,Other Crime,14,No,
